Course Title,Survey Score,Q1 - To what extent is the following statement true:  I would recommend others to attend [Course Title],Q2 - [Optional] That's great! What was the main reason you feel this way?,Q3 - [Optional] We're sorry to hear that. What was the main reason you feel this way?,Q4 - [Optional] What was the main reason you feel this way?,"Q5 - To what extent is the following statement true:  I am satisfied with the services offered by [Training Provider Name] (e.g., efficiency in handling registration matters, responsiveness in addressing learner queries etc.).",Q6 - To what extent is the following statement true:  The course content covered the knowledge/skills as outlined in the course synopsis.,Q7 - To what extent is the following statement true:  The course content is relevant to my work.,"Q8 - To what extent is the following statement true:  The course materials supported my learning (e.g., notes, references, presentation slides, etc.).","Q9 - To what extent is the following statement true:  The teaching methods used were innovative (e.g., teaching strategies and activities, technological tools, etc.).",Q10 - The teaching methods used were effective in helping me learn and acquire skills.,Q11_1 - To what extent is the following statement true about your instructor(s):  The instructor(s) demonstrated subject matter expertise (Trainer 1),Q11_2 - To what extent is the following statement true about your instructor(s):  The instructor(s) demonstrated subject matter expertise (Trainer 2),Q11_3 - To what extent is the following statement true about your instructor(s):  The instructor(s) demonstrated subject matter expertise (Trainer 3),Q12_1 - To what extent is the following statement true about your instructor(s):  The instructor(s) was/were engaging in the delivery of the course (Trainer 1),Q12_2 - To what extent is the following statement true about your instructor(s):  The instructor(s) was/were engaging in the delivery of the course (Trainer 2),Q12_3 - To what extent is the following statement true about your instructor(s):  The instructor(s) was/were engaging in the delivery of the course (Trainer 3),Q13 - To what extent is the following statement true:  The course duration was just right.,Q14 - I found the course duration ________.,Q15 - To what extent is the following statement true:  The course met my learning needs.,Q16 - To what extent is the following statement true:  The course provided good value-for-money.,Q17 - Are the following statements true to you (select all that apply)?:,Q25 - To what extent is the following statement true:  The course will help me progress in my work / career.,Q26 - To what extent is the following statement true:  The skills and knowledge acquired in the course will lead to improvements in my performance at work.,Q27 - [Optional] What is one thing we can do to improve future classes?,Trainer Name 1,Trainer Name 2,Trainer Name 3
Personal Mastery - Self-Management for Holistic Well Being,4,To a Large Extent,Good stress coping Technics,,,To a Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,Phua Ying Tse Louise,,
"Graduate Certificate in Implementing and Evaluating Innovation, Change and Learning - GCIEX (f2f, sync)",5,To a Very Large Extent,,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,,,,,To a Large Extent,,To a Large Extent,To a Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To Some Extent,To a Large Extent,All is good ,,,
The Future of Adult Education: Generative AI-Enhanced Case-Based Learning,5,To a Very Large Extent,Interesting and relevant,,,To Some Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Very Large Extent,Have more structured platform for sharing our outputs.,,,
Cultivating Adaptability Navigating Change,5,To a Very Large Extent,,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,,,,,,,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,,,
Design Thinking Expresso,4,To a Large Extent,Easy to understand the design thinking principles ,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,**********,Joel Ng Tzuo-Wei,,
Jumpstart Your Learning Design with Generative AI! - A Hands-On Essentials Workshop,5,To a Very Large Extent,It is very useful,,,To Some Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,,,To a Large Extent,,,To a Large Extent,,To a Large Extent,To a Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Large Extent,To a Large Extent,Na,Tjan Pin Ann Darren Francis,,
Learning That Works: The 6Ds Framework for Business-Aligned Training Design,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To Some Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,Sim Lee Eng Serene,,
Designing and Implementing Educational Escape Rooms,5,To a Very Large Extent,Love it,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,**********,,,
Teaching with Impact: Aligning Adult Learning with Industry Transformation Roadmaps (ITRs),4,To a Large Extent,,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,,,,,To a Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,,,
Facilitate with Flair: The Workshop Method Unleashed for Ultimate Impact,4,To a Large Extent,,,,To a Very Large Extent,To a Large Extent,To a Very Large Extent,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To a Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,Sim Lee Eng Serene,,
